label,diskUsage,forkCount,squashMergeAllowed,isArchived,isFork,C,Shell,C++,assign_,stargazer_,milestone,Ruby,Makefile,Python,JavaScript,HTML,CSS,Java,languageCounter,popularLanguageCounter,hasLanguage,description_len,has_description,has_issue,stargazer_non_zero,has_milestone,has_release,contributed
1,158101,0,0,0,1,0.003418909112087181,0.00041386812513857796,0.4894229455061495,1.0,0.0,0.0,0.00014029862695265382,0.0017348981095969785,0.08363863745188146,0.0002367550016802492,0.4104872274643599,0.0007523631427077107,0.0,18,9,0,80,0,0,1,0,0,0
1,20003,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,42,0,0,1,0,0,0
1,235629,1,0,0,1,0.18640219150243806,7.916330711273828e-05,0.7010837324982944,20.0,3.0,0.0,0.0,8.287872398577575e-05,0.005291916920667244,8.801858183250177e-05,0.012009141349948646,6.916847961402398e-05,0.0,26,8,0,3,1,0,0,0,0,0
1,422654,51,0,0,1,0.0,0.0,0.0,22.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,30,0,1,0,0,0,0
0,109,1,0,0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,3,1,0,0,0,0,0
0,600,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.028101691354133842,0.0,0.0,0.0,0.7619497846412439,0.20994852400462236,0.0,3,3,0,3,1,0,1,0,0,0
0,43471,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0017594296479176079,0.0,0.0,0.052322294331187534,0.14928083858870167,0.7966374374321932,0.0,4,4,0,46,0,0,1,0,0,0
0,2848,1,0,0,1,0.7672582406374119,6.199727212002672e-05,0.16672466411477896,20.0,2.0,0.0,0.00031598609661174907,0.005174772310018359,0.03568542984108699,0.0,0.0,0.0,0.0,10,6,0,57,0,0,0,0,0,0
0,8468,2,0,0,1,0.027337886348723715,0.0018860438369292935,0.9199737182863826,20.0,2.0,0.0,0.0,0.0002815475840528849,0.023312317219337974,0.0,0.0014136465789014211,2.8952427321283013e-05,0.0,12,7,0,71,0,0,0,0,0,0
0,128,1,0,0,0,0.0,0.0,0.998838714252788,1.0,1.0,0.0,0.0,0.0,0.0011612857472120275,0.0,0.0,0.0,0.0,2,2,0,99,0,0,0,0,0,0
1,9139,2,0,0,1,0.0009183696550961473,0.004036905692434132,0.00016035025723900985,20.0,2.0,0.0,0.0,0.0,0.029196816117462845,0.0,0.0,0.0,0.0,7,4,0,54,0,0,0,0,0,0
0,1066,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.001872795060243878,0.0,0.8407985985135121,0.08800409112426444,0.008679817696185648,0.0,5,4,0,55,0,0,1,0,0,0
0,18268,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04206565301190075,0.057545813320280234,0.900388533667819,0.0,3,3,0,53,0,0,1,0,0,0
0,1787,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8757908820814603,0.007263771102945439,0.11694534681559428,0.0,3,3,0,3,1,0,1,0,0,0
1,25659,546,0,0,0,0.0,0.0,0.0,15.0,1173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,34,0,1,0,0,0,1
1,985,0,0,0,0,0.0,0.003669243873673175,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.19774603590617215,0.0,0.0,0.0,3,2,0,3,1,0,1,0,0,0
1,377944,955,0,0,0,0.0,0.0023414437702509484,0.0,21.0,8468.0,1.0,0.0,0.0,0.00032789449248090205,0.008179505147173827,0.0035865191952206845,0.0,0.0,5,4,0,83,0,0,0,1,1,1
0,21,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.028566646208782014,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,54,0,0,1,0,0,0
1,47203,771,0,0,0,0.0,0.0024683147853297393,0.0,18.0,2884.0,0.0,0.0,0.0,0.023624904454556242,0.17451909943072852,0.028143479592596988,0.0035914049112427673,0.0,6,5,0,35,0,0,0,0,0,1
0,500,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,124,0,0,1,0,0,0
0,480,0,0,0,0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,3,1,0,0,0,0,0
0,600,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9454303311147894,0.02103431356586559,0.030801131882403007,0.002734223436942041,0.0,4,4,0,36,0,0,1,0,0,0
0,2888,0,0,0,0,0.0,1.531880796106666e-05,0.0,3.0,0.0,0.0,0.0,0.0,0.9304738225139342,0.02136679118108009,0.0,0.00595960548177651,0.0,5,4,0,17,0,0,1,0,0,0
0,15224,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10428896949734867,0.09456567262711804,0.799576568966374,0.0,4,3,0,32,0,1,1,0,0,0
0,4,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,51,0,1,1,0,0,0
1,524,5,0,0,0,0.0,0.0750358261654871,0.0,3.0,13.0,0.0,0.0,0.0,0.4723691678608722,0.05784240250108968,0.3776971536621083,0.01705544981044274,0.0,5,5,0,48,0,1,0,0,0,0
0,25,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0,41,0,0,1,0,0,0
1,5121,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20638993502462444,0.0,0.7306211976989612,0.06298886727641435,0.0,3,3,0,3,1,0,1,0,0,0
1,425,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,59,0,0,1,0,0,0
